step,time_ns,xapp,adjusted_param,adjusted_value,TxPower,TxMode2Gain,UeTxPower,rbUtil,dlThroughput,AvgCqi,EstimatedPower_W,RSRP,RSRQ,ulThroughput,ulSinr,ulInterference,ServedUes,FarUes
1,3000000000,CoverageXapp,TxPower,42,42,4.2,23,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
2,4000000000,EnergyXapp,TxPower,40,40,4.2,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
3,5000000000,QoSXapp,TxMode2Gain,4.2,40,4.2,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
4,6000000000,LoadXapp,UeTxPower,16.5,40,4.2,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
5,7000000000,CoverageXapp,TxPower,42,42,4.2,16.5,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.396729,-7.36057,3.14731e-19,6,0.5
6,8000000000,EnergyXapp,TxPower,40,40,4.2,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
7,9000000000,QoSXapp,TxMode2Gain,4.2,40,4.2,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
8,10000000000,LoadXapp,UeTxPower,10,40,4.2,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
9,11000000000,CoverageXapp,TxPower,42,42,4.2,10,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
10,12000000000,EnergyXapp,TxPower,40,40,4.2,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
11,13000000000,QoSXapp,TxMode2Gain,3.15,40,3.15,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
12,14000000000,LoadXapp,UeTxPower,16.5,40,3.15,16.5,0.7,2.63672,3.5,177,-118.982,-5.52761,0.396729,-7.36057,3.14731e-19,6,0.5
13,15000000000,CoverageXapp,TxPower,42,42,3.15,16.5,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
14,16000000000,EnergyXapp,TxPower,40,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
15,17000000000,QoSXapp,TxMode2Gain,2.1,40,2.1,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
16,18000000000,LoadXapp,UeTxPower,23,40,2.1,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
17,19000000000,CoverageXapp,TxPower,42,42,2.1,23,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
18,20000000000,EnergyXapp,TxPower,40,40,2.1,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
19,21000000000,QoSXapp,TxMode2Gain,3.15,40,3.15,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.396729,-7.36057,3.14731e-19,6,0.5
20,22000000000,LoadXapp,UeTxPower,16.5,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
21,23000000000,CoverageXapp,TxPower,42,42,3.15,16.5,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
22,24000000000,EnergyXapp,TxPower,40,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
23,25000000000,QoSXapp,TxMode2Gain,4.2,40,4.2,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
24,26000000000,LoadXapp,UeTxPower,10,40,4.2,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
25,27000000000,CoverageXapp,TxPower,42,42,4.2,10,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
26,28000000000,EnergyXapp,TxPower,40,40,4.2,10,0.7,2.63672,3.5,177,-118.982,-5.52761,0.396729,-7.36057,3.14731e-19,6,0.5
27,29000000000,QoSXapp,TxMode2Gain,3.15,40,3.15,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
28,30000000000,LoadXapp,UeTxPower,16.5,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
29,31000000000,CoverageXapp,TxPower,42,42,3.15,16.5,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
30,32000000000,EnergyXapp,TxPower,40,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
31,33000000000,QoSXapp,TxMode2Gain,2.1,40,2.1,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
32,34000000000,LoadXapp,UeTxPower,23,40,2.1,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-10.6424,3.14731e-19,6,0.5
33,35000000000,CoverageXapp,TxPower,42,42,2.1,23,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-10.6424,3.14731e-19,6,0.5
34,36000000000,EnergyXapp,TxPower,40,40,2.1,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-11.8665,3.14731e-19,6,0.5
35,37000000000,QoSXapp,TxMode2Gain,3.15,40,3.15,23,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-11.8665,3.14731e-19,6,0.5
36,38000000000,LoadXapp,UeTxPower,16.5,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-10.6424,3.14731e-19,6,0.5
37,39000000000,CoverageXapp,TxPower,42,42,3.15,16.5,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-10.6424,3.14731e-19,6,0.5
38,40000000000,EnergyXapp,TxPower,40,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.356445,-10.6424,3.14731e-19,6,0.5
39,41000000000,QoSXapp,TxMode2Gain,4.2,40,4.2,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-10.6424,3.14731e-19,6,0.5
40,42000000000,LoadXapp,UeTxPower,10,40,4.2,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
41,43000000000,CoverageXapp,TxPower,42,42,4.2,10,0.54,2.80701,4.5,204.49,-119.161,-5.84214,0.335693,-9.53963,3.14731e-19,6,0.5
42,44000000000,EnergyXapp,TxPower,40,40,4.2,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
43,45000000000,QoSXapp,TxMode2Gain,3.15,40,3.15,10,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
44,46000000000,LoadXapp,UeTxPower,16.5,40,3.15,16.5,0.7,2.63672,3.5,177,-121.161,-6.66691,0.335693,-9.53963,3.14731e-19,6,0.5
