step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_Hysteresis,c0_Param_TTT_ms,c1_Param_TxPower,c1_Param_Hysteresis,c1_Param_TTT_ms
0,2000000000,CCO,c0_TxPower_delta,2,0.01,0.335083,15,-71.5243,-3.01501,36.469,1,0,6,0.364,5.85756,14.8889,-87.8612,-3.71557,16.6254,1,0,6,40,1,128,46,1,128
1,3000000000,CCO,c1_TxPower_delta,0,0.014,0.4021,15,-70.7882,-3.01596,34.9529,1,0,0,0.372,5.92657,15,-87.9329,-3.96896,16.7355,1,0,0,40,1,128,46,1,128
2,4000000000,ES,c0_TxPower_delta,0,0.01,0.335083,15,-68.6599,-3.01244,37.8483,1,0,0,0.368,6.17761,15,-88.1377,-3.94697,16.4343,1,0,0,40,1,128,46,1,128
3,5000000000,ES,c1_TxPower_delta,-1,0.012,0.368591,15,-69.2318,-3.0146,36.3413,1,0,0,0.354,5.89215,15,-87.9611,-3.87049,16.3851,1,0,0,40,1,128,45,1,128
4,6000000000,MLB,c0_Hysteresis_delta,0.5,0.014,0.4021,15,-69.2612,-3.01395,36.2792,1,0,0,0.41,6.21361,14.6667,-89.8857,-4.50741,17.0885,1,0,0,40,1.5,128,45,1,128
5,7000000000,MLB,c1_Hysteresis_delta,-0.5,0.01,0.335083,15,-70.5418,-3.01395,38.7277,1,0,0,0.37,6.03952,14.8889,-89.3857,-4.29623,16.9612,1,0,0,40,1.5,128,45,0.5,128
6,8000000000,MRO,c0_TTT_delta_ms,0,0.01,0.335083,15,-69.6088,-3.0126,35.2394,1,0,0,0.416,6.52748,14.7778,-89.7145,-4.31901,16.8203,1,0,0,40,1.5,128,45,0.5,128
7,9000000000,MRO,c1_TTT_delta_ms,0,0.01,0.335083,15,-70.9264,-3.01521,36.9809,1,0,0,0.404,6.40033,14.8889,-89.439,-4.35013,16.6578,1,0,0,40,1.5,128,45,0.5,128
8,10000000000,CCO,c0_TxPower_delta,2,0.012,0.368591,15,-72.4808,-3.01924,38.4804,1,0,0,0.412,6.42929,14.2222,-88.7772,-4.1709,16.7365,1,0,0,42,1.5,128,45,0.5,128
9,11000000000,CCO,c1_TxPower_delta,0,0.01,0.335083,15,-67.6063,-3.01222,34.942,1,0,0,0.396,6.3317,15,-89.0018,-4.799,16.7557,1,0,0,42,1.5,128,45,0.5,128
10,12000000000,ES,c0_TxPower_delta,0,0.012,0.368591,15,-68.2031,-3.01205,37.7417,1,0,0,0.394,6.20644,14.3333,-89.4863,-4.82212,16.9485,1,0,0,42,1.5,128,45,0.5,128
11,13000000000,ES,c1_TxPower_delta,-1,0.01,0.335083,15,-67.0023,-3.01169,36.7944,1,0,0,0.416,6.42059,14.7778,-89.7918,-4.92357,17.4042,1,0,0,42,1.5,128,44,0.5,128
12,14000000000,MLB,c0_Hysteresis_delta,0.5,0.01,0.335083,15,-69.4543,-3.01356,39.2626,1,0,0,0.444,6.53751,14.3333,-90.6526,-5.40027,16.846,1,0,0,42,2,128,44,0.5,128
13,15000000000,MLB,c1_Hysteresis_delta,-0.5,0.01,0.335083,15,-69.8585,-3.01216,37.4083,1,0,0,0.406,6.42809,14.7778,-90.3168,-5.27003,16.3579,1,0,0,42,2,128,44,0,128
14,16000000000,MRO,c0_TTT_delta_ms,-20,0.01,0.335083,15,-68.0157,-3.01222,39.6996,1,0,2,0.402,6.12373,14.4444,-91.1164,-5.64845,16.5335,1,0,2,42,2,108,44,0,128
15,17000000000,MRO,c1_TTT_delta_ms,0,0.01,0.335083,15,-67.3027,-3.01212,34.2011,1,0,0,0.43,6.35347,14.4444,-90.2328,-5.27846,16.9186,1,0,0,42,2,108,44,0,128
16,18000000000,CCO,c0_TxPower_delta,2,0.01,0.335083,15,-68.6226,-3.01229,38.4115,1,0,0,0.406,6.24355,15,-90.3695,-5.12932,17.3581,1,0,0,44,2,108,44,0,128
17,19000000000,CCO,c1_TxPower_delta,0,0.192,4.6165,14.75,-82.6882,-4.83709,22.9644,1,0,3,0.406,8.73633,14.6667,-90.2482,-6.10429,17.4681,1,0,3,44,2,108,44,0,128
18,20000000000,ES,c0_TxPower_delta,-1,0.346,7.94452,13.6,-86.921,-5.40393,20.05,1,0,5,0.41,9.95654,13.8,-88.778,-5.8507,18.6123,1,0,5,43,2,108,44,0,128
19,21000000000,ES,c1_TxPower_delta,-1,0.214,5.86035,15,-85.0459,-5.45984,18.9415,1,0,2,0.38,9.54579,14.7143,-89.1957,-5.13452,16.5466,1,0,2,43,2,108,43,0,128
20,22000000000,MLB,c0_Hysteresis_delta,0.5,0.136,3.2361,15,-80.2871,-4.47908,21.314,1,0,2,0.442,8.01857,14.2857,-90.6478,-5.96188,16.8751,1,0,2,43,2.5,108,43,0,128
21,23000000000,MLB,c1_Hysteresis_delta,0,0.336,7.97646,15,-87.4712,-6.03668,18.3121,1,0,4,0.438,10.2137,14.7143,-89.6765,-5.55755,16.6437,1,0,4,43,2.5,108,43,0,128
22,24000000000,MRO,c0_TTT_delta_ms,-20,0.514,10.0923,14.6,-89.84,-6.29013,17.5995,1,0,12,0.492,10.4259,14.2,-89.334,-6.08548,17.957,1,0,12,43,2.5,88,43,0,128
23,25000000000,MRO,c1_TTT_delta_ms,-20,0.446,9.483,15,-89.04,-5.97173,18.1268,1,0,4,0.48,10.3119,14.7143,-88.6411,-5.68128,17.6592,1,0,4,43,2.5,88,43,0,108
24,26000000000,CCO,c0_TxPower_delta,0,0.408,8.88681,14.75,-88.8482,-6.1111,16.0838,1,0,3,0.456,10.5894,15,-88.559,-5.57276,16.0703,1,0,3,43,2.5,88,43,0,108
25,27000000000,CCO,c1_TxPower_delta,0,0.422,9.8741,14.8,-90.3251,-6.06403,16.858,1,0,5,0.304,7.33916,15,-85.7056,-5.35492,16.7516,1,0,5,43,2.5,88,43,0,108
26,28000000000,ES,c0_TxPower_delta,-1,0.37,8.17073,15,-86.9029,-5.41424,14.4964,1,0,4,0.41,9.68938,15,-90.3356,-6.4091,14.9168,1,0,4,42,2.5,88,43,0,108
27,29000000000,ES,c1_TxPower_delta,-1,0.384,8.4532,14.6667,-88.91,-5.93522,14.5907,1,0,6,0.418,9.84349,14.4286,-89.3907,-5.52536,15.039,1,0,6,42,2.5,88,42,0,108
28,30000000000,MLB,c0_Hysteresis_delta,0,0.34,8.05116,14.2,-87.6672,-4.96328,15.7717,1,0,4,0.442,9.68259,14.4,-90.986,-5.68539,14.9487,1,0,4,42,2.5,88,42,0,108
29,31000000000,MLB,c1_Hysteresis_delta,0,0.474,10.5495,14.7143,-90.7766,-5.76816,15.9617,1,0,2,0.366,7.92224,13.3333,-88.7136,-5.50471,17.4796,1,0,2,42,2.5,88,42,0,108
30,32000000000,MRO,c0_TTT_delta_ms,-20,0.218,4.98659,15,-85.4938,-5.65121,18.4889,1,0,8,0.464,9.53951,14.4286,-91.4278,-5.7455,16.2456,1,0,8,42,2.5,68,42,0,108
31,33000000000,MRO,c1_TTT_delta_ms,-20,0.53,10.1129,14.2,-90.5861,-6.35203,14.9292,1,0,6,0.506,10.2071,15,-89.95,-5.92358,14.8187,1,0,6,42,2.5,68,42,0,88
32,34000000000,CCO,c0_TxPower_delta,2,0.472,9.30005,7,-89.4572,-5.55506,14.1581,1,0,2,0.508,10.4462,5.8,-91.1046,-5.95382,14.6621,1,0,2,44,2.5,68,42,0,88
33,35000000000,CCO,c1_TxPower_delta,2,0.428,6.72375,15,-90.297,-4.85266,15.8697,1,0,4,0.034,0.747025,15,-67.2303,-3.0122,21.7668,1,0,4,44,2.5,68,44,0,88
34,36000000000,ES,c0_TxPower_delta,-1,0.448,7.74792,14.25,-89.643,-5.46625,14.8555,1,0,1,0.13,2.97212,15,-79.7407,-4.8469,17.7772,1,0,1,43,2.5,68,44,0,88
35,37000000000,ES,c1_TxPower_delta,-1,0.43,10.2112,15,-88.7418,-6.07837,14.6929,1,0,8,0.43,9.4286,14.5,-87.633,-5.67983,14.0443,1,0,8,43,2.5,68,43,0,88
36,38000000000,MLB,c0_Hysteresis_delta,0.5,0.164,4.3201,15,-83.0219,-5.62064,21.6857,1,0,7,0.418,8.16234,14,-90.8304,-5.94365,17.4893,1,0,7,43,3,68,43,0,88
37,39000000000,MLB,c1_Hysteresis_delta,0,0.486,10.5411,14.6667,-89.0307,-5.65907,17.1898,1,0,7,0.46,9.58643,14.5,-89.3213,-5.70104,18.8878,1,0,7,43,3,68,43,0,88
38,40000000000,MRO,c0_TTT_delta_ms,-20,0.39,8.84427,15,-88.8627,-5.77687,16.8398,1,0,5,0.432,9.90179,14.8,-89.9253,-6.07496,17.0057,1,0,5,43,3,48,43,0,88
39,41000000000,MRO,c1_TTT_delta_ms,-20,0.488,10.5468,14.2,-88.4432,-5.78511,15.7465,1,0,6,0.478,10.2573,15,-88.7611,-5.79948,16.5802,1,0,6,43,3,48,43,0,68
40,42000000000,CCO,c0_TxPower_delta,0,0.438,10.5276,14,-88.6803,-5.26681,16.3456,1,0,1,0.406,10.2226,14.5,-89.0429,-5.8079,16.7702,1,0,1,43,3,48,43,0,68
41,43000000000,CCO,c1_TxPower_delta,0,0.232,5.49309,15,-85.5418,-5.6471,18.931,1,0,4,0.426,9.97697,14.125,-90.4039,-5.46947,16.4719,1,0,4,43,3,48,43,0,68
42,44000000000,ES,c0_TxPower_delta,-1,0.482,10.9594,14.6667,-89.6884,-5.87088,18.5748,1,0,4,0.398,8.2879,15,-87.5136,-5.08201,20.2163,1,0,4,42,3,48,43,0,68
43,45000000000,ES,c1_TxPower_delta,-1,0.25,6.11626,15,-86.4322,-5.82733,21.4551,1,0,5,0.416,10.1945,14.7143,-90.3018,-5.56831,17.0236,1,0,5,42,3,48,42,0,68
44,46000000000,MLB,c0_Hysteresis_delta,0,0.31,7.06325,14.5,-86.4778,-4.66856,19.6556,1,0,3,0.448,10.0692,15,-90.6094,-5.94479,18.0887,1,0,3,42,3,48,42,0,68
